Nome;Descricao;;;
Conector Derivação Perfurante;Conexões de derivação por perfuração em condutores isolados de cobre e/ou alumínio, em redes secundárias e ramais aéreos de baixa tensão.;;;
Eletroduto;Eletrodutos são os dutos que protegem os cabos e condutores de energia elétrica instalados em camadas subterrâneas ou instalações aparentes.;;;
Conector Para Haste;Conectores para Haste são ideais para realizar conexões de alta qualidade em sistemas de aterramento. Utilizadopara conectar haste-cabo oferecendo alta condutividade elétrica e resistência à corrosão.;;;
Conector Split Bolt;Conexão em derivação de condutores de cobre.;;;
Haste Aterramento; é um componente que direciona a corrente elétrica para o solo, evitando danos a pessoas e equipamentos;;;
Relé Fotoelétrico; dispositivos para controle automático da iluminação;;;
Base para ReléFotoelétrico;"Possibilita a colocação em duas posições
no suporte e após fixada não irá girar, permitindo ao operador colocar ou retirar o rele
com apenas uma mão. ";;;
Grampo para Aterramento Duplo;"Conexão de um condutor a uma haste de aterramento ou tubo IPS,
permite instalar o condutor em paralelo ou a 90º.";;;
Caixa de Aterramento;;;;
Curva para Eletroduto;utilizado para fazer desvios em ângulo de 90° em eletrodutos, permitindo que os cabos elétricos sejam direcionados para outros locais;;;
Luva Eletroduto;São utilizadas para emendar dois tubos de eletroduto e são fabricadas em diferentes tamanhos.;;;

